2020-09-10 02:16:13,370 - 00_train.py - 00_train.py - 100 - INFO - TARGET MACHINE_TYPE: fan
2020-09-10 02:16:13,379 - 00_train.py - 00_train.py - 101 - INFO - MAKE DATA_LOADER
2020-09-10 02:17:39,201 - 00_train.py - 00_train.py - 108 - INFO - TRAINING
2020-09-10 03:18:43,508 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 98/100:train_score:9.030645, valid_score:8.947071
2020-09-10 03:19:20,442 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 99/100:train_score:9.028456, valid_score:8.943169
2020-09-10 03:19:57,528 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 100/100:train_score:9.028098, valid_score:8.978937
2020-09-10 03:19:57,540 - 00_train.py - 00_train.py - 120 - INFO - 
 success:fan 
model_out_path ==> 
 /media/hiroki/working/research/dcase2020/result/baseline_1D/models/fan_model.pth
2020-09-10 03:19:58,312 - 00_train.py - 00_train.py - 100 - INFO - TARGET MACHINE_TYPE: pump
2020-09-10 03:19:58,312 - 00_train.py - 00_train.py - 101 - INFO - MAKE DATA_LOADER
2020-09-10 03:21:06,376 - 00_train.py - 00_train.py - 108 - INFO - TRAINING
2020-09-10 03:21:38,830 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 1/100:train_score:51.239562, valid_score:11.779171
2020-09-10 03:22:11,550 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 2/100:train_score:11.237505, valid_score:10.818737
2020-09-10 03:22:43,736 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 3/100:train_score:10.560399, valid_score:10.520514
2020-09-10 03:23:15,999 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 4/100:train_score:10.306282, valid_score:10.226961
2020-09-10 03:23:48,676 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 5/100:train_score:10.176518, valid_score:10.128356
2020-09-10 03:24:21,686 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 6/100:train_score:10.088837, valid_score:10.007199
2020-09-10 03:24:54,391 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 7/100:train_score:10.029027, valid_score:10.015142
2020-09-10 03:25:27,215 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 8/100:train_score:9.986078, valid_score:9.957017
2020-09-10 03:26:00,008 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 9/100:train_score:9.951160, valid_score:9.940870
2020-09-10 03:26:32,475 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 10/100:train_score:9.921320, valid_score:9.901229
2020-09-10 03:27:05,253 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 11/100:train_score:9.901186, valid_score:9.933140
2020-09-10 03:27:38,071 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 12/100:train_score:9.882199, valid_score:9.913315
2020-09-10 03:28:10,985 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 13/100:train_score:9.863586, valid_score:9.883607
2020-09-10 03:28:43,814 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 14/100:train_score:9.850175, valid_score:9.866805
2020-09-10 03:29:16,503 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 15/100:train_score:9.837651, valid_score:9.859505
2020-09-10 03:29:49,043 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 16/100:train_score:9.825024, valid_score:10.059265
2020-09-10 03:30:21,786 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 17/100:train_score:9.816582, valid_score:9.891991
2020-09-10 03:30:54,460 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 18/100:train_score:9.807616, valid_score:9.820410
2020-09-10 03:31:26,905 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 19/100:train_score:9.798804, valid_score:9.811427
2020-09-10 03:31:59,061 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 20/100:train_score:9.789081, valid_score:10.004374
2020-09-10 03:32:31,490 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 21/100:train_score:9.784024, valid_score:9.810999
2020-09-10 03:33:04,147 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 22/100:train_score:9.776451, valid_score:9.844835
2020-09-10 03:33:36,882 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 23/100:train_score:9.770434, valid_score:9.820074
2020-09-10 03:34:09,507 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 24/100:train_score:9.763911, valid_score:9.815736
2020-09-10 03:34:41,426 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 25/100:train_score:9.759570, valid_score:9.805638
2020-09-10 03:35:13,672 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 26/100:train_score:9.754718, valid_score:9.794218
